model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.7547026699029128,0.2484147548675537,12.847998142242432,0.0009138584136962891,1.1070871353149414,2,True,14
LightGBMXT,0.7471177184466019,0.08187603950500488,0.6181707382202148,0.08187603950500488,0.6181707382202148,1,True,3
LightGBM,0.7451456310679614,0.08173584938049316,0.40360260009765625,0.08173584938049316,0.40360260009765625,1,True,4
NeuralNetFastAI,0.7434769417475728,0.009536504745483398,2.5516462326049805,0.009536504745483398,2.5516462326049805,1,True,10
NeuralNetTorch,0.7378640776699028,0.007957696914672852,9.716981649398804,0.007957696914672852,9.716981649398804,1,True,12
CatBoost,0.7355885922330098,0.0015108585357666016,0.46874117851257324,0.0015108585357666016,0.46874117851257324,1,True,7
XGBoost,0.7352851941747574,0.009858369827270508,0.424102783203125,0.009858369827270508,0.424102783203125,1,True,11
LightGBMLarge,0.6922026699029126,0.07593131065368652,1.0021560192108154,0.07593131065368652,1.0021560192108154,1,True,13
RandomForestGini,0.6764259708737864,0.08923673629760742,0.5413942337036133,0.08923673629760742,0.5413942337036133,1,True,5
RandomForestEntr,0.6685376213592233,0.0796670913696289,0.5188772678375244,0.0796670913696289,0.5188772678375244,1,True,6
ExtraTreesGini,0.6608009708737865,0.08258628845214844,0.5860562324523926,0.08258628845214844,0.5860562324523926,1,True,8
ExtraTreesEntr,0.6523058252427184,0.07432723045349121,0.534923791885376,0.07432723045349121,0.534923791885376,1,True,9
KNeighborsUnif,0.6297026699029127,0.003916263580322266,0.13822412490844727,0.003916263580322266,0.13822412490844727,1,True,1
KNeighborsDist,0.6260618932038835,0.002123117446899414,0.003129243850708008,0.002123117446899414,0.003129243850708008,1,True,2
