model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.7166872942754924,1.5901849269866943,2489.496846437454,0.0010073184967041016,1.209650993347168,2,True,14
LightGBMLarge,-0.7597774364596429,0.14224481582641602,119.92789602279663,0.14224481582641602,119.92789602279663,1,True,13
CatBoost,-0.7611510500267451,0.03787994384765625,1733.3939361572266,0.03787994384765625,1733.3939361572266,1,True,8
LightGBMXT,-0.7669660371314512,0.16148614883422852,32.63998627662659,0.16148614883422852,32.63998627662659,1,True,4
LightGBM,-0.7748075600326277,0.10194778442382812,39.674712896347046,0.10194778442382812,39.674712896347046,1,True,5
ExtraTreesEntr,-0.7753232910179836,0.10594892501831055,8.630317687988281,0.10594892501831055,8.630317687988281,1,True,10
ExtraTreesGini,-0.7835849682277086,0.11210250854492188,9.01526689529419,0.11210250854492188,9.01526689529419,1,True,9
XGBoost,-0.8036534671945645,0.054666757583618164,264.67390966415405,0.054666757583618164,264.67390966415405,1,True,11
RandomForestGini,-0.8156036062466085,0.12447881698608398,9.067574262619019,0.12447881698608398,9.067574262619019,1,True,6
RandomForestEntr,-0.8432086820424238,0.10351228713989258,9.205381155014038,0.10351228713989258,9.205381155014038,1,True,7
NeuralNetFastAI,-0.9762644476572299,0.5595862865447998,29.78944206237793,0.5595862865447998,29.78944206237793,1,True,3
NeuralNetTorch,-0.9953131626106323,0.4881002902984619,298.3002336025238,0.4881002902984619,298.3002336025238,1,True,12
KNeighborsDist,-2.362515276955677,0.033110857009887695,0.5465247631072998,0.033110857009887695,0.5465247631072998,1,True,2
KNeighborsUnif,-2.3668034310450636,0.09877300262451172,0.6054642200469971,0.09877300262451172,0.6054642200469971,1,True,1
