model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9705343893931511,0.09327816963195801,9.656305074691772,0.0011487007141113281,1.2906746864318848,2,True,14
ExtraTreesEntr,0.9682025784818177,0.08916497230529785,0.7188739776611328,0.08916497230529785,0.7188739776611328,1,True,9
ExtraTreesGini,0.9675859012160105,0.09729218482971191,0.6518833637237549,0.09729218482971191,0.6518833637237549,1,True,8
CatBoost,0.9654660731147984,0.002964496612548828,7.646756410598755,0.002964496612548828,7.646756410598755,1,True,7
RandomForestEntr,0.9648493958489912,0.08527302742004395,1.2511465549468994,0.08527302742004395,1.2511465549468994,1,True,6
RandomForestGini,0.962893372646509,0.09163022041320801,1.0804755687713623,0.09163022041320801,1.0804755687713623,1,True,5
XGBoost,0.9621321616465284,0.011120319366455078,1.6907954216003418,0.011120319366455078,1.6907954216003418,1,True,11
LightGBMLarge,0.9617852806845117,0.009745121002197266,3.7718658447265625,0.009745121002197266,3.7718658447265625,1,True,13
LightGBM,0.9609758917731398,0.012726545333862305,1.5869789123535156,0.012726545333862305,1.5869789123535156,1,True,4
LightGBMXT,0.9590487753174924,0.07958459854125977,4.163885593414307,0.07958459854125977,4.163885593414307,1,True,3
NeuralNetTorch,0.9511668690138945,0.009532451629638672,68.80694198608398,0.009532451629638672,68.80694198608398,1,True,12
NeuralNetFastAI,0.9400281359002525,0.04717254638671875,10.673590183258057,0.04717254638671875,10.673590183258057,1,True,10
KNeighborsDist,0.9334373976219383,0.003569364547729492,0.0066907405853271484,0.003569364547729492,0.0066907405853271484,1,True,2
KNeighborsUnif,0.919725964040007,0.0038955211639404297,0.1280348300933838,0.0038955211639404297,0.1280348300933838,1,True,1
