model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-42.936025847109605,0.10656404495239258,6.62427544593811,0.00041866302490234375,0.3273305892944336,2,True,12
NeuralNetFastAI,-42.9461783292518,0.017019271850585938,3.78206205368042,0.017019271850585938,3.78206205368042,1,True,8
CatBoost,-44.00191796971401,0.005359172821044922,1.0424714088439941,0.005359172821044922,1.0424714088439941,1,True,6
LightGBMXT,-44.134475848514576,0.07454204559326172,0.543438196182251,0.07454204559326172,0.543438196182251,1,True,3
LightGBMLarge,-44.247318027870406,0.0821828842163086,0.6825544834136963,0.0821828842163086,0.6825544834136963,1,True,11
LightGBM,-44.3142448214656,0.07577371597290039,0.2191636562347412,0.07577371597290039,0.2191636562347412,1,True,4
NeuralNetTorch,-46.26317006745039,0.0166475772857666,2.0123214721679688,0.0166475772857666,2.0123214721679688,1,True,10
RandomForestMSE,-46.45838153327718,0.0724339485168457,0.4885075092315674,0.0724339485168457,0.4885075092315674,1,True,5
ExtraTreesMSE,-47.85356074393732,0.0724785327911377,0.5025613307952881,0.0724785327911377,0.5025613307952881,1,True,7
KNeighborsUnif,-53.64364609657894,0.0032072067260742188,0.1272265911102295,0.0032072067260742188,0.1272265911102295,1,True,1
KNeighborsDist,-54.589549408078845,0.001678466796875,0.0032873153686523438,0.001678466796875,0.0032873153686523438,1,True,2
XGBoost,-54.89928578471375,0.011785268783569336,0.7483000755310059,0.011785268783569336,0.7483000755310059,1,True,9
