model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.874035087719298,0.01719188690185547,5.209472894668579,0.001123189926147461,1.3068578243255615,2,True,14
CatBoost,0.8631578947368421,0.0017740726470947266,1.0494685173034668,0.0017740726470947266,1.0494685173034668,1,True,7
NeuralNetTorch,0.8599999999999999,0.014294624328613281,2.853146553039551,0.014294624328613281,2.853146553039551,1,True,12
LightGBMXT,0.8571929824561403,0.07894563674926758,0.6103827953338623,0.07894563674926758,0.6103827953338623,1,True,3
RandomForestGini,0.8396491228070174,0.0697624683380127,0.5533699989318848,0.0697624683380127,0.5533699989318848,1,True,5
ExtraTreesGini,0.836140350877193,0.07038998603820801,0.5631790161132812,0.07038998603820801,0.5631790161132812,1,True,8
RandomForestEntr,0.8347368421052631,0.07822966575622559,0.5145330429077148,0.07822966575622559,0.5145330429077148,1,True,6
ExtraTreesEntr,0.8326315789473684,0.07664299011230469,0.5525801181793213,0.07664299011230469,0.5525801181793213,1,True,9
LightGBM,0.8284210526315788,0.08900642395019531,0.42058467864990234,0.08900642395019531,0.42058467864990234,1,True,4
KNeighborsUnif,0.8157894736842105,0.006934642791748047,0.12095355987548828,0.006934642791748047,0.12095355987548828,1,True,1
XGBoost,0.8147368421052631,0.014823198318481445,0.8515608310699463,0.014823198318481445,0.8515608310699463,1,True,11
NeuralNetFastAI,0.8101754385964912,0.02721261978149414,2.204103469848633,0.02721261978149414,2.204103469848633,1,True,10
KNeighborsDist,0.8059649122807018,0.002492666244506836,0.0038933753967285156,0.002492666244506836,0.0038933753967285156,1,True,2
LightGBMLarge,0.8024561403508772,0.08153796195983887,1.0994880199432373,0.08153796195983887,1.0994880199432373,1,True,13
