model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.7609223300970874,0.02144932746887207,4.448405504226685,0.0010933876037597656,1.239130973815918,2,True,14
NeuralNetFastAI,0.7587985436893204,0.008489131927490234,2.5404388904571533,0.008489131927490234,2.5404388904571533,1,True,10
CatBoost,0.7554611650485437,0.0017168521881103516,0.5166687965393066,0.0017168521881103516,0.5166687965393066,1,True,7
LightGBMXT,0.7474211165048543,0.01186680793762207,0.6688356399536133,0.01186680793762207,0.6688356399536133,1,True,3
NeuralNetTorch,0.7456007281553396,0.009338140487670898,10.054107189178467,0.009338140487670898,10.054107189178467,1,True,12
LightGBM,0.7377123786407768,0.08651947975158691,0.401104211807251,0.08651947975158691,0.401104211807251,1,True,4
XGBoost,0.7281553398058253,0.021337270736694336,0.5252342224121094,0.021337270736694336,0.5252342224121094,1,True,11
RandomForestEntr,0.6953883495145632,0.0787811279296875,0.5369095802307129,0.0787811279296875,0.5369095802307129,1,True,6
RandomForestGini,0.6949332524271845,0.07889676094055176,0.5559055805206299,0.07889676094055176,0.5559055805206299,1,True,5
ExtraTreesEntr,0.6856796116504854,0.07402729988098145,0.5535488128662109,0.07402729988098145,0.5535488128662109,1,True,9
ExtraTreesGini,0.6779429611650485,0.07661294937133789,0.5354495048522949,0.07661294937133789,0.5354495048522949,1,True,8
KNeighborsUnif,0.6488167475728155,0.004339694976806641,0.394641637802124,0.004339694976806641,0.394641637802124,1,True,1
LightGBMLarge,0.6472997572815534,0.014317750930786133,1.0820918083190918,0.014317750930786133,1.0820918083190918,1,True,13
KNeighborsDist,0.6344053398058253,0.003031015396118164,0.0045359134674072266,0.003031015396118164,0.0045359134674072266,1,True,2
