model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-41.13330234087218,0.12611627578735352,9.09363842010498,0.0003998279571533203,0.3194091320037842,2,True,12
LightGBMLarge,-41.54741787603653,0.0856010913848877,0.6964585781097412,0.0856010913848877,0.6964585781097412,1,True,11
CatBoost,-41.55700352354356,0.005471229553222656,1.131666898727417,0.005471229553222656,1.131666898727417,1,True,6
NeuralNetFastAI,-41.57868606161713,0.01590704917907715,4.561516761779785,0.01590704917907715,4.561516761779785,1,True,8
LightGBMXT,-42.05385187228569,0.0753176212310791,0.9451913833618164,0.0753176212310791,0.9451913833618164,1,True,3
LightGBM,-42.24254125966047,0.07927322387695312,0.5191655158996582,0.07927322387695312,0.5191655158996582,1,True,4
NeuralNetTorch,-44.78877418729411,0.018737077713012695,2.384587049484253,0.018737077713012695,2.384587049484253,1,True,10
RandomForestMSE,-45.66984725536931,0.06232643127441406,0.4878807067871094,0.06232643127441406,0.4878807067871094,1,True,5
ExtraTreesMSE,-47.46444342724489,0.06001019477844238,0.4661116600036621,0.06001019477844238,0.4661116600036621,1,True,7
KNeighborsUnif,-51.688528227533425,0.0037186145782470703,0.14619135856628418,0.0037186145782470703,0.14619135856628418,1,True,1
XGBoost,-52.54716902537067,0.02021932601928711,0.9376735687255859,0.02021932601928711,0.9376735687255859,1,True,9
KNeighborsDist,-53.64442894602333,0.001840353012084961,0.005193233489990234,0.001840353012084961,0.005193233489990234,1,True,2
