model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.7391673848384394,1.137021541595459,2190.9479310512543,0.00095367431640625,1.1520769596099854,2,True,14
ExtraTreesGini,-0.780158178963026,0.14678668975830078,9.35886836051941,0.14678668975830078,9.35886836051941,1,True,9
CatBoost,-0.7802069775846936,0.03943204879760742,1750.3805401325226,0.03943204879760742,1750.3805401325226,1,True,8
LightGBMLarge,-0.7938291934090402,0.07770967483520508,115.95424461364746,0.07770967483520508,115.95424461364746,1,True,13
LightGBMXT,-0.7944055909085065,0.10674548149108887,39.61801242828369,0.10674548149108887,39.61801242828369,1,True,4
ExtraTreesEntr,-0.7947787581064374,0.10518193244934082,9.201993465423584,0.10518193244934082,9.201993465423584,1,True,10
LightGBM,-0.8203576022490477,0.07787299156188965,50.38072681427002,0.07787299156188965,50.38072681427002,1,True,5
RandomForestGini,-0.8262848904453016,0.11046171188354492,10.627045392990112,0.11046171188354492,10.627045392990112,1,True,6
XGBoost,-0.8274163061276664,0.04716038703918457,234.3757200241089,0.04716038703918457,234.3757200241089,1,True,11
RandomForestEntr,-0.8439429525757901,0.10335755348205566,10.853247165679932,0.10335755348205566,10.853247165679932,1,True,7
NeuralNetFastAI,-0.9839520562347163,0.6715877056121826,39.06626105308533,0.6715877056121826,39.06626105308533,1,True,3
NeuralNetTorch,-1.0255193115454269,0.3558988571166992,269.4015293121338,0.3558988571166992,269.4015293121338,1,True,12
KNeighborsDist,-2.2261790099812857,0.0466458797454834,1.0422074794769287,0.0466458797454834,1.0422074794769287,1,True,2
KNeighborsUnif,-2.2298895214205374,0.054787397384643555,1.1694245338439941,0.054787397384643555,1.1694245338439941,1,True,1
