model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.874035087719298,0.019898414611816406,5.512650966644287,0.001070261001586914,1.3469088077545166,2,True,14
CatBoost,0.8631578947368421,0.0027709007263183594,1.0099766254425049,0.0027709007263183594,1.0099766254425049,1,True,7
NeuralNetTorch,0.8599999999999999,0.016057252883911133,3.1557655334472656,0.016057252883911133,3.1557655334472656,1,True,12
LightGBMXT,0.8571929824561403,0.08087444305419922,0.679201602935791,0.08087444305419922,0.679201602935791,1,True,3
RandomForestGini,0.8396491228070174,0.07558917999267578,0.5553796291351318,0.07558917999267578,0.5553796291351318,1,True,5
ExtraTreesGini,0.836140350877193,0.06703686714172363,0.6086463928222656,0.06703686714172363,0.6086463928222656,1,True,8
RandomForestEntr,0.8347368421052631,0.0698859691619873,0.5969655513763428,0.0698859691619873,0.5969655513763428,1,True,6
ExtraTreesEntr,0.8326315789473684,0.07512950897216797,0.543109655380249,0.07512950897216797,0.543109655380249,1,True,9
LightGBM,0.8284210526315788,0.08134675025939941,0.5140142440795898,0.08134675025939941,0.5140142440795898,1,True,4
KNeighborsUnif,0.8157894736842105,0.0071315765380859375,0.11875677108764648,0.0071315765380859375,0.11875677108764648,1,True,1
XGBoost,0.8147368421052631,0.02003765106201172,1.6162891387939453,0.02003765106201172,1.6162891387939453,1,True,11
NeuralNetFastAI,0.8101754385964912,0.052298545837402344,2.9736886024475098,0.052298545837402344,2.9736886024475098,1,True,10
KNeighborsDist,0.8059649122807018,0.0027642250061035156,0.005780220031738281,0.0027642250061035156,0.005780220031738281,1,True,2
LightGBMLarge,0.8024561403508772,0.012882232666015625,1.7592356204986572,0.012882232666015625,1.7592356204986572,1,True,13
