model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.7547026699029128,0.10999941825866699,22.730305433273315,0.0010838508605957031,1.2257399559020996,2,True,14
LightGBMXT,0.7471177184466019,0.00918126106262207,0.7264995574951172,0.00918126106262207,0.7264995574951172,1,True,3
LightGBM,0.7451456310679614,0.00913858413696289,0.40602898597717285,0.00913858413696289,0.40602898597717285,1,True,4
NeuralNetFastAI,0.7434769417475728,0.015567541122436523,3.44938063621521,0.015567541122436523,3.44938063621521,1,True,10
NeuralNetTorch,0.7378640776699028,0.009122610092163086,18.68462872505188,0.009122610092163086,18.68462872505188,1,True,12
CatBoost,0.7355885922330098,0.0016808509826660156,0.543499231338501,0.0016808509826660156,0.543499231338501,1,True,7
XGBoost,0.7352851941747574,0.013687372207641602,0.5782120227813721,0.013687372207641602,0.5782120227813721,1,True,11
LightGBMLarge,0.6922026699029126,0.08147311210632324,1.687408208847046,0.08147311210632324,1.687408208847046,1,True,13
RandomForestGini,0.6764259708737864,0.07868504524230957,0.6050429344177246,0.07868504524230957,0.6050429344177246,1,True,5
RandomForestEntr,0.6685376213592233,0.07977485656738281,0.6350820064544678,0.07977485656738281,0.6350820064544678,1,True,6
ExtraTreesGini,0.6608009708737865,0.07537460327148438,0.5554437637329102,0.07537460327148438,0.5554437637329102,1,True,8
ExtraTreesEntr,0.6523058252427184,0.07539057731628418,0.6036479473114014,0.07539057731628418,0.6036479473114014,1,True,9
KNeighborsUnif,0.6297026699029127,0.003942728042602539,0.13104820251464844,0.003942728042602539,0.13104820251464844,1,True,1
KNeighborsDist,0.6260618932038835,0.0024132728576660156,0.0032510757446289062,0.0024132728576660156,0.0032510757446289062,1,True,2
