model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-42.936025847109605,0.09434318542480469,7.036800146102905,0.0003764629364013672,0.305652379989624,2,True,12
NeuralNetFastAI,-42.9461783292518,0.022462129592895508,4.17817234992981,0.022462129592895508,4.17817234992981,1,True,8
CatBoost,-44.00191796971401,0.006056785583496094,1.057844877243042,0.006056785583496094,1.057844877243042,1,True,6
LightGBMXT,-44.134475848514576,0.013798952102661133,0.6594746112823486,0.013798952102661133,0.6594746112823486,1,True,3
LightGBMLarge,-44.247318027870406,0.01619243621826172,0.6665570735931396,0.01619243621826172,0.6665570735931396,1,True,11
LightGBM,-44.3142448214656,0.01869940757751465,0.28987884521484375,0.01869940757751465,0.28987884521484375,1,True,4
NeuralNetTorch,-46.26317006745039,0.012911796569824219,2.1010231971740723,0.012911796569824219,2.1010231971740723,1,True,10
RandomForestMSE,-46.45838153327718,0.06359434127807617,0.4644937515258789,0.06359434127807617,0.4644937515258789,1,True,5
ExtraTreesMSE,-47.85356074393732,0.058592796325683594,0.4519522190093994,0.058592796325683594,0.4519522190093994,1,True,7
KNeighborsUnif,-53.64364609657894,0.002171754837036133,0.14795374870300293,0.002171754837036133,0.14795374870300293,1,True,1
KNeighborsDist,-54.589549408078845,0.0018527507781982422,0.0036094188690185547,0.0018527507781982422,0.0036094188690185547,1,True,2
XGBoost,-54.89928578471375,0.016686439514160156,0.7416751384735107,0.016686439514160156,0.7416751384735107,1,True,9
