model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.8505361930294907,1.6735095977783203,622.757523059845,0.0009949207305908203,1.3696937561035156,2,True,14
LightGBMXT_BAG_L1,0.8477993744414656,0.126389741897583,168.81059503555298,0.126389741897583,168.81059503555298,1,True,3
CatBoost_BAG_L1,0.8471291331546024,0.08404541015625,170.01625895500183,0.08404541015625,170.01625895500183,1,True,7
NeuralNetFastAI_BAG_L1,0.8421581769436997,1.7536277770996094,273.20236802101135,1.7536277770996094,273.20236802101135,1,True,10
XGBoost_BAG_L1,0.8356233243967829,0.41628003120422363,138.41250157356262,0.41628003120422363,138.41250157356262,1,True,11
NeuralNetTorch_BAG_L1,0.83453418230563,1.4620795249938965,282.56097531318665,1.4620795249938965,282.56097531318665,1,True,12
LightGBM_BAG_L1,0.8294515192135836,0.11329460144042969,169.96795654296875,0.11329460144042969,169.96795654296875,1,True,4
ExtraTreesGini_BAG_L1,0.8257233020554064,0.11731123924255371,0.5049130916595459,0.11731123924255371,0.5049130916595459,1,True,8
LightGBMLarge_BAG_L1,0.8197050938337801,0.11964893341064453,188.68194365501404,0.11964893341064453,188.68194365501404,1,True,13
ExtraTreesEntr_BAG_L1,0.8180015638963362,0.11048293113708496,0.49181032180786133,0.11048293113708496,0.49181032180786133,1,True,9
RandomForestEntr_BAG_L1,0.8136449955317248,0.10182738304138184,0.5201067924499512,0.10182738304138184,0.5201067924499512,1,True,6
RandomForestGini_BAG_L1,0.8116063449508488,0.12521767616271973,0.5233542919158936,0.12521767616271973,0.5233542919158936,1,True,5
KNeighborsUnif_BAG_L1,0.7507819481680071,0.0043070316314697266,0.1288595199584961,0.0043070316314697266,0.1288595199584961,1,True,1
KNeighborsDist_BAG_L1,0.7499301831992852,0.0015032291412353516,0.0036661624908447266,0.0015032291412353516,0.0036661624908447266,1,True,2
