id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,auc_ovo,auc_ovr,balacc,f05,f1,f2,logloss,mae,max_pce,mean_pce,mse,msle,pr_auc,r2,rmse,rmsle,models_ensemble_count
openml.org/t/3913,kc2,AutoGluon_bestquality_save,2h_2F_2c_16GB,0,binary,0.863636,auc,local,0.5.0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2.0.5,2022-06-28T18:37:49,1730.9,1617.4,9.6,14,818206247,,0.792453,0.863636,,,0.5671,0.37037,0.266667,0.208333,0.359612,,0.818182,0.4329,,,0.587225,,,,4
openml.org/t/3913,kc2,AutoGluon_bestquality_save,2h_2F_2c_16GB,1,binary,0.866883,auc,local,0.5.0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2.0.5,2022-06-28T19:06:09,1699.7,1568.4,26.4,14,818206248,,0.849057,0.866883,,,0.636364,0.652174,0.428571,0.319149,0.296198,,0.727273,0.363636,,,0.748404,,,,7
openml.org/t/59,iris,AutoGluon_bestquality_save,2h_2F_2c_16GB,0,multiclass,-0.0816533,neg_logloss,local,0.5.0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2.0.5,2022-06-28T19:58:39,3148.1,3005.2,1.6,14,818206247,,0.933333,,1.0,1.0,0.933333,0.93815,0.93266,0.931624,0.0816533,,0.2,0.0666667,,,,,,,2
openml.org/t/59,iris,AutoGluon_bestquality_save,2h_2F_2c_16GB,1,multiclass,-0.00289923,neg_logloss,local,0.5.0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2.0.5,2022-06-28T20:43:36,2697.3,2555.8,1.7,14,818206248,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.00289923,,0.0,0.0,,,,,,,2
openml.org/t/2295,cholesterol,AutoGluon_bestquality_save,2h_2F_2c_16GB,0,regression,-43.9597,neg_rmse,local,0.5.0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2.0.5,2022-06-28T21:09:27,1549.6,1448.1,10.2,12,818206247,,,,,,,,,,,33.8032,,,1932.45,0.0332852,,0.00249667,43.9597,0.182442,3
openml.org/t/2295,cholesterol,AutoGluon_bestquality_save,2h_2F_2c_16GB,1,regression,-54.1871,neg_rmse,local,0.5.0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2.0.5,2022-06-28T21:35:20,1552.5,1441.8,13.0,12,818206248,,,,,,,,,,,43.3088,,,2936.24,0.0592951,,-0.0181978,54.1871,0.243506,4
openml.org/t/10101,blood-transfusion,AutoGluon_bestquality_save,2h_2F_2c_16GB,0,binary,0.740253,auc,local,0.5.0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2.0.5,2022-06-28T22:05:39,1817.3,1710.8,3.0,14,818206247,,0.746667,0.740253,,,0.567251,0.37037,0.296296,0.246914,0.48772,,0.777778,0.432749,,,0.482845,,,,3
openml.org/t/10101,blood-transfusion,AutoGluon_bestquality_save,2h_2F_2c_16GB,1,binary,0.857212,auc,local,0.5.0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2.0.5,2022-06-28T22:35:59,1820.4,1718.9,3.0,14,818206248,,0.786667,0.857212,,,0.612573,0.5,0.384615,0.3125,0.423479,,0.722222,0.387427,,,0.623457,,,,3
openml.org/t/168910,fabert,AutoGluon_bestquality_save,2h_2F_2c_16GB,0,multiclass,-0.699278,neg_logloss,local,0.5.0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2.0.5,2022-06-29T01:07:52,9111.0,9063.6,12.3,9,818206247,,0.739078,,0.945255,0.947015,0.70676,0.727062,0.727909,0.733207,0.699278,,0.655914,0.29324,,,,,,,6
openml.org/t/168910,fabert,AutoGluon_bestquality_save,2h_2F_2c_16GB,1,multiclass,-0.7181,neg_logloss,local,0.5.0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2.0.5,2022-06-29T03:39:13,9081.0,9033.9,11.3,9,818206248,,0.747573,,0.944279,0.945999,0.719759,0.740669,0.740102,0.743359,0.7181,,0.571429,0.280241,,,,,,,7
openml.org/t/9952,phoneme,AutoGluon_bestquality_save,2h_2F_2c_16GB,0,binary,0.975172,auc,local,0.5.0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2.0.5,2022-06-29T05:47:22,7687.0,7047.3,125.6,26,818206247,,0.920518,0.975172,,,0.905166,0.863579,0.865204,0.866834,0.184725,,0.132075,0.0948335,,,0.947712,,,,20
openml.org/t/9952,phoneme,AutoGluon_bestquality_save,2h_2F_2c_16GB,1,binary,0.979716,auc,local,0.5.0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2.0.5,2022-06-29T07:58:01,7838.6,7176.3,117.2,26,818206248,,0.924214,0.979716,,,0.913292,0.865031,0.873065,0.88125,0.173921,,0.113208,0.0867085,,,0.953412,,,,18
