type,task,autogluon,autogluonbestquality,autopytorch,autosklearn,autosklearn2,autoweka,autoxgboost,constantpredictor,decisiontree,flaml,gama,h2oautoml,hyperoptsklearn,lightautoml,mljarsupervised,mljarsupervised_compete,mlnet,mlplansklearn,mlplanweka,mlr3automl,oboe,randomforest,ranger,tpot,tunedrandomforest
binary,australian,14.0,14.0,11.6,11.4,13.9,,,1.0,1.0,,,78.1,10.0,1.0,7.0,11.555555555555555,116.5,,,,,2000.0,,662.5,2000.0
binary,blood-transfusion,14.0,14.0,11.6,7.7,7.2,,,1.0,1.0,,,69.3,9.0,1.0,7.0,14.777777777777779,145.8,,,,,2000.0,,985.3,2000.0
binary,christine,10.1,6.0,4.2,4.2,12.0,,,1.0,1.0,,,49.4,10.0,1.0,5.9,5.0,30.8,,,,,2000.0,,8.0,1176.0
binary,credit-g,14.0,26.0,17.8,11.9,14.1,,,1.0,1.0,,,70.1,10.0,1.0,7.0,9.666666666666666,348.4,,,,,2000.0,,718.1,2000.0
binary,jasmine,14.0,26.0,8.0,10.3,13.5,,,1.0,1.0,,,60.1,10.0,1.0,7.0,6.0,483.0,,,,,2000.0,,125.3,2000.0
binary,kc1,14.0,26.0,,8.7,9.9,,,1.0,1.0,,,,10.0,1.0,7.0,5.8,887.9,,,,,2000.0,,420.5,2000.0
binary,kr-vs-kp,12.0,10.0,11.4,9.4,11.0,,,1.0,1.0,,,56.7,10.0,1.0,7.0,5.0,327.5,,,,,2000.0,,296.6,2000.0
binary,phoneme,14.0,22.2,6.0,11.1,13.9,,,1.0,1.0,,,35.5,10.0,1.0,7.0,6.3,126.77777777777777,,,,,2000.0,,238.6,2000.0
binary,sylvine,14.0,26.0,6.5,9.3,9.8,,,1.0,1.0,,,34.5,9.5,1.0,7.0,16.4,153.7,,,,,2000.0,,171.9,2000.0
multiclass,car,12.0,7.0,2.7,2.2,2.9,,,1.0,1.0,,,51.7,10.0,1.0,6.25,,58.8,,,,,2000.0,,417.9,2000.0
multiclass,cnae-9,14.0,9.0,5.3,5.5,5.4,,,1.0,1.0,,,23.9,10.0,1.0,6.0,,110.4,,,,,2000.0,,52.8,2000.0
multiclass,dilbert,5.0,5.4,2.0,2.0,2.8,,,1.0,1.0,,,11.0,7.5,,5.0,,10.2,,,,,2000.0,,8.0,894.0
multiclass,fabert,9.0,8.0,,5.1,3.0,,,1.0,1.0,,,17.0,9.444444444444445,1.0,6.0,,45.1,,,,,2000.0,,9.6,1653.0
multiclass,mfeat-factors,9.4,9.2,5.7,6.9,,,,1.0,1.0,,,11.6,10.0,1.0,6.0,6.0,61.4,,,,,2000.0,,38.4,1137.0
multiclass,segment,14.0,9.0,3.6,7.9,6.0,,,1.0,1.0,,,16.4,10.0,1.0,7.0,9.7,231.22222222222223,,,,,2000.0,,165.8,2000.0
multiclass,vehicle,14.0,26.0,5.1,6.6,6.0,,,1.0,1.0,,,47.7,10.0,1.0,7.0,43.4,74.4,,,,,2000.0,,409.9,2000.0
