type,task,autogluon,autogluonbestquality,autopytorch,autosklearn,autosklearn2,autoweka,autoxgboost,constantpredictor,decisiontree,flaml,gama,h2oautoml,hyperoptsklearn,lightautoml,mljarsupervised,mljarsupervised_compete,mlnet,mlplansklearn,mlplanweka,mlr3automl,oboe,randomforest,ranger,tpot,tunedrandomforest
binary,australian,1.8753233999999999,1.8840052,1.8780256000000002,1.8651076,1.88024,1.8559708000000001,1.656766,1.0,,,,1.8822932,1.6969222000000002,1.8890846,1.8674586000000002,1.8747731111111112,1.8694009999999999,,,1.8559346,,,,1.8770394,
binary,blood-transfusion,1.4960384,1.5064558,1.5193788,1.5011408,1.5172858,1.4823128,1.3182664000000002,1.0,,,,1.5155942,1.1764535999999999,1.4967204,1.513565,1.5006115555555555,1.4667414,,,1.4821351999999999,,,,1.469224,
binary,christine,1.6393096,1.6515388000000002,1.595522,1.6348118,1.6228586,1.5771574,1.5432511999999998,1.0,,,,1.6274571999999998,1.3803823999999998,1.6534859999999998,1.6217852000000001,1.547492,1.5739928,,,1.5905088,,,,1.61512,
binary,credit-g,1.5872382,1.5970476,1.5586668,1.5763812,1.6021904,1.4889526,1.3290476,1.0,,,,1.5898094,1.3538096,1.5916190000000001,1.5445238,1.5238095555555555,1.5116668,,,1.5719999999999998,,,,1.5820952,
binary,jasmine,1.7609096000000002,1.774817,1.7566534,1.7585162,1.764897,1.7058626000000001,1.6303718,1.0,,,,1.7744218,1.6118972,1.7585314,1.7328434000000001,1.7513492,1.712596,,,1.7692073999999998,,,,1.7660893999999998,
binary,kc1,1.6450244,1.6760826000000002,,1.6808018,1.654886,,,1.0,,,,,1.373462,1.6548928,1.6408074,1.6192366,1.592878,,,,,,,1.6665742000000001,
binary,kr-vs-kp,1.9996037999999998,1.9991898,1.9970268,1.9989726,1.999772,1.9506934,1.8386424000000001,1.0,,,,1.9994778,1.9601792,1.9988357999999997,1.9992244,1.9888893333333335,1.9993165999999998,,,1.999325,,,,1.9990397999999998,
binary,phoneme,1.929615,1.943323,1.9271732,1.9239694,1.937777,1.9104648000000002,1.8849846,1.0,,,,1.9317568,1.7016396,1.9304397999999998,1.901722,1.9073684,1.896422,,,1.9203214,,,,1.9225718,
binary,sylvine,1.9757158000000001,1.980135,1.9716462,1.9740414000000002,1.9779474000000001,1.9342146,1.9491112000000002,1.0,,,,1.9765153999999998,1.8043926,1.9746555999999997,1.9690932,1.9688528,1.9550122,,,1.973959,,,,1.975611,
multiclass,car,-0.022689529377137207,-0.008632197715683201,-0.036688030189546125,-0.010475869815957673,-0.00474891467433051,-0.3423558159624593,-0.13725235885741088,-1.0,,,,-0.007998766430641336,-1.1726950439466566,-0.028789349187471436,-0.045910870127042085,,-0.11735922951568942,,,-0.025581500527647027,,,,-0.7682986972741827,
multiclass,cnae-9,-0.072878805945695,-0.06063676372871172,-0.09520930994620472,-0.08900997624270666,-0.07259118340448383,-0.32428637095966717,-0.17686308153029734,-0.9999999999999998,,,,-0.07050922984498592,-1.353607285569947,-0.07197048998279643,-0.08468082395026441,,-0.1800927990824769,,,-0.10708613611745747,,,,-0.07706318893874985,
multiclass,dilbert,-0.01444543863061661,-0.02462715636308497,-0.11224640846965417,-0.08219879898056905,-0.14198900898807,-0.27280703335274337,,-1.0,,,,-0.03859204925882447,-2.6114778372369885,,-0.1662802266810761,,-0.12730066439505,,,-0.1440621750967757,,,,-0.4278145436082661,
multiclass,fabert,-0.4029445683749879,-0.40033882646132246,,-0.40397582340911065,-0.4375268975508694,-1.8694536636677968,,-1.0000000000000002,,,,-0.4217626657193182,-6.536189911615179,-0.42434899125516223,-0.45295993078381364,,-0.5145838334117456,,,-0.4491955538628457,,,,-0.6058674800208674,
multiclass,mfeat-factors,-0.0331773958889772,-0.02948798961169814,-0.038405829956700936,-0.04037733161353086,,-0.1669757143043269,-0.2521730312387356,-1.0000000000000002,,,,-0.05303776182472782,-0.3824990988408706,-0.03796476142083481,-0.04282034144159404,-0.04747021831937081,-0.06849228911790636,,,-0.05343258678270992,,,,-0.07138416305117282,
multiclass,segment,-0.031733908556921944,-0.028635286318483378,-0.04695271620989665,-0.04097587247097758,-0.029436459034590495,-0.4383297531746072,-0.3510156584836914,-0.9999999999999998,,,,-0.032492047422542664,-0.5993316237647167,-0.03060499200888016,-0.044485387299515386,-0.10314367057058135,-0.14804842521550898,,,-0.03681430281976041,,,,-0.039102409669511944,
multiclass,vehicle,-0.2677736562554125,-0.21969163154552276,-0.29163226719011603,-0.2669654610010969,-0.2678263379712488,-0.952600744760695,-0.5313849517926217,-1.0,,,,-0.2626158997748398,-6.161556780786329,-0.2899361324403903,-0.2842210322729634,-0.2391751342301253,-0.8226376941285146,,,-0.3879216702268922,,,,-0.3245631747589631,
