type,task,autogluon,autogluonbestquality,autopytorch,autosklearn,autosklearn2,autoweka,autoxgboost,constantpredictor,decisiontree,flaml,gama,h2oautoml,hyperoptsklearn,lightautoml,mljarsupervised,mljarsupervised_compete,mlnet,mlplansklearn,mlplanweka,mlr3automl,oboe,randomforest,ranger,tpot,tunedrandomforest
binary,australian,0.9376616999999999,0.9420026,0.9390128000000001,0.9325538,0.94012,0.9279854000000001,0.828383,0.5,0.8310375999999999,,,0.9411466,0.8484611000000001,0.9445423,0.9337293000000001,0.9373865555555556,0.9347004999999999,,,0.9279673,,0.9394467000000001,,0.9385197,0.9373101
binary,blood-transfusion,0.7480192,0.7532279,0.7596894,0.7505704,0.7586429,0.7411564,0.6591332000000001,0.5,0.5825621,,,0.7577971,0.5882267999999999,0.7483602,0.7567825,0.7503057777777777,0.7333707,,,0.7410675999999999,,0.6835628,,0.734612,0.6869767999999999
binary,christine,0.8196548,0.8257694000000001,0.797761,0.8174059,0.8114293,0.7885787,0.7716255999999999,0.5,0.6251365,,,0.8137285999999999,0.6901911999999999,0.8267429999999999,0.8108926000000001,0.773746,0.7869964,,,0.7952544,,0.8058123,,0.80756,0.8048219
binary,credit-g,0.7936191,0.7985238,0.7793334,0.7881906,0.8010952,0.7444763,0.6645238,0.5,0.6495238000000001,,,0.7949047,0.6769048,0.7958095000000001,0.7722619,0.7619047777777778,0.7558334,,,0.7859999999999999,,0.8015000999999999,,0.7910476,0.8028096
binary,jasmine,0.8804548000000001,0.8874085,0.8783267,0.8792581,0.8824485,0.8529313000000001,0.8151859,0.5,0.7422706,,,0.8872109,0.8059486,0.8792657,0.8664217000000001,0.8756746,0.856298,,,0.8846036999999999,,0.8881705999999999,,0.8830446999999999,0.8877982
binary,kc1,0.8225122,0.8380413000000001,,0.8404009,0.827443,,,0.5,0.6037176,,,,0.686731,0.8274464,0.8204037,0.8096183,0.796439,,,,,0.8354685,,0.8332871000000001,0.8407451
binary,kr-vs-kp,0.9998018999999999,0.9995949,0.9985134,0.9994863,0.999886,0.9753467,0.9193212000000001,0.5,0.9965358,,,0.9997389,0.9800896,0.9994178999999999,0.9996122,0.9944446666666668,0.9996582999999999,,,0.9996625,,0.9990918000000001,,0.9995198999999999,0.9997266
binary,phoneme,0.9648075,0.9716615,0.9635866,0.9619847,0.9688885,0.9552324000000001,0.9424923,0.5,0.8460319999999999,,,0.9658784,0.8508198,0.9652198999999999,0.950861,0.9536842,0.948211,,,0.9601607,,0.9652127,,0.9612859,0.9654119
binary,sylvine,0.9878579000000001,0.9900675,0.9858231,0.9870207000000001,0.9889737000000001,0.9671073,0.9745556000000001,0.5,0.9135381,,,0.9882576999999999,0.9021963,0.9873277999999999,0.9845466,0.9844264,0.9775061,,,0.9869795,,0.9832015000000001,,0.9878055,0.9840251
multiclass,car,-0.018963591,-0.007214669999999999,-0.030663342000000003,-0.00875558533,-0.0039690763999999995,-0.286136198,-0.1147136,-0.835786,-0.6791456000000002,,,-0.006685257,-0.9801221000000003,-0.024061735,-0.0383716625,,-0.098087201,,,-0.021380660000000003,,-0.10518405,,-0.642133295,-0.04240121
multiclass,cnae-9,-0.16013077,-0.13323231,-0.2091958,-0.19557449999999998,-0.1594988,-0.7125285,-0.38860710000000004,-2.19722,-4.5092300000000005,,,-0.15492429000000002,-2.974173,-0.158135,-0.18606240000000002,,-0.3957035,,,-0.2352918,,-0.3002435,,-0.16932478,-0.3024422
multiclass,dilbert,-0.023244631999999998,-0.03962837,-0.1806194,-0.13226880000000002,-0.2284792,-0.43898279999999995,,-1.609133,-6.569276,,,-0.06209974,-4.202215166666666,,-0.267567,,-0.2048437,,,-0.2318152,,-0.3283988,,-0.6884105,-0.32869899999999996
multiclass,fabert,-0.7554026,-0.7505176,,-0.7573359,-0.8202342999999999,-3.504676,,-1.8747060000000002,-11.71153,,,-0.790681,-12.253434444444444,-0.7955296,-0.8491666999999999,,-0.9646934,,,-0.8421096,,-0.8041537,,-1.1358234,-0.8184729000000001
multiclass,mfeat-factors,-0.07639394000000001,-0.06789875,-0.08843288,-0.09297244,,-0.38447661,-0.5806511000000001,-2.30259,-3.97196,,,-0.12212422,-0.8807385999999999,-0.08741728,-0.09859769,-0.10930445,-0.15770966,,,-0.12303334000000002,,-0.23354,,-0.16436846,-0.20217459999999998
multiclass,segment,-0.06175132999999999,-0.055721690000000004,-0.09136575999999999,-0.07973536,-0.0572807,-0.8529502499999999,-0.68304488,-1.94591,-1.2117017,,,-0.0632266,-1.1662454,-0.05955456,-0.08656456,-0.2007083,-0.2880889111111111,,,-0.07163732,,-0.09596509,,-0.07608977,-0.08205470000000001
multiclass,vehicle,-0.3710486,-0.30442230000000003,-0.40410900000000005,-0.3699287,-0.3711216,-1.3199998000000002,-0.7363295,-1.38568,-9.798568,,,-0.3639016,-8.537946,-0.40175869999999997,-0.3938394,-0.3314202,-1.1399126000000002,,,-0.5375353,,-0.4969175,,-0.4497407,-0.4845865
